id,price,neighbourhood_group,neighbourhood
936760639034481780,112,Sarrià-Sant Gervasi,el Putxet i el Farró
936764529414342382,112,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
937490285216417643,70,Eixample,l'Antiga Esquerra de l'Eixample
936772393554881634,102,Sant Martí,el Parc i la Llacuna del Poblenou
936780623571937240,75,Eixample,la Nova Esquerra de l'Eixample
936787225784858471,112,Eixample,la Dreta de l'Eixample
936793577429961650,146,Eixample,la Sagrada Família
937493012497389874,72,Eixample,l'Antiga Esquerra de l'Eixample
937500645466064752,77,Eixample,l'Antiga Esquerra de l'Eixample
936850951611349528,300,Eixample,Sant Antoni
937520766672098675,149,Sant Martí,el Besòs i el Maresme
936864236041964171,102,Eixample,Sant Antoni
937542443024225274,191,Sants-Montjuïc,Sants
937569293104336084,112,Eixample,Sant Antoni
937572162260104747,205,Ciutat Vella,el Raval
936868092828695972,82,Eixample,Sant Antoni
937599889262072313,38,Sants-Montjuïc,Hostafrancs
936872250987697395,82,Eixample,la Sagrada Família
937625080441817252,87,Eixample,la Nova Esquerra de l'Eixample
936877066113176135,100,Les Corts,les Corts
936881748781960832,107,Les Corts,les Corts
937638767430100121,64,Eixample,l'Antiga Esquerra de l'Eixample
936896695949033707,100,Les Corts,les Corts
937642857795458726,250,Sants-Montjuïc,Hostafrancs
937653118061955597,70,Sants-Montjuïc,el Poble Sec
936901593170586722,312,Les Corts,les Corts
937686808100576604,44,Horta-Guinardó,el Carmel
936954368894452365,30,Sant Martí,el Poblenou
937244538625183177,54,Ciutat Vella,el Raval
937696392212655466,72,Ciutat Vella,el Barri Gòtic
937801000443888234,76,Sants-Montjuïc,el Poble Sec
937420238073627918,81,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
937443983183329155,69,Ciutat Vella,el Barri Gòtic
937807198416387683,60,Sant Martí,el Clot
937447130141428110,217,Eixample,la Sagrada Família
938151746844910519,70,Gràcia,la Vila de Gràcia
937447901783397008,72,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
937450083128628581,91,Eixample,la Dreta de l'Eixample
938170494917615590,83,Gràcia,la Vila de Gràcia
937455667771585334,78,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
938209716165226279,32,Sants-Montjuïc,la Font de la Guatlla
938236217101352373,55,Ciutat Vella,el Barri Gòtic
939645761991465289,93,Ciutat Vella,el Barri Gòtic
938270646203287982,60,Sant Martí,el Camp de l'Arpa del Clot
939654345371237595,64,Ciutat Vella,el Barri Gòtic
938281016948393721,68,Sant Martí,el Poblenou
939656216394879689,65,Eixample,Sant Antoni
938311529783073873,73,Sant Andreu,Navas
938312464877489685,41,Nou Barris,Vilapicina i la Torre Llobeta
939656946104932157,64,Ciutat Vella,el Barri Gòtic
938369005534121969,160,Sants-Montjuïc,Hostafrancs
939692129763753951,60,Sant Martí,la Verneda i la Pau
939710280509284071,58,Sants-Montjuïc,Sants
939939326687743195,79,Eixample,la Dreta de l'Eixample
938405754658483781,60,Sants-Montjuïc,Sants - Badal
939942837372360664,19,Gràcia,la Vila de Gràcia
939973318879363498,22,Nou Barris,la Prosperitat
938476327438316279,60,Horta-Guinardó,Montbau
940191491141146539,84,Ciutat Vella,el Raval
938503853057016074,76,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
940229986942958749,84,Eixample,el Fort Pienc
938507926907787250,99,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
940231167686158125,44,Ciutat Vella,el Raval
938531874776099420,99,Ciutat Vella,el Raval
940275062557334916,122,Eixample,el Fort Pienc
940275841445294672,59,Sant Martí,el Clot
938543363424816380,110,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
940294293187559249,64,Sant Martí,Sant Martí de Provençals
938559334897137471,48,Sants-Montjuïc,la Font de la Guatlla
940300840671609963,156,Ciutat Vella,la Barceloneta
938566262506210965,69,Sants-Montjuïc,la Font de la Guatlla
938571457596679766,75,Sants-Montjuïc,la Font de la Guatlla
940306064698304689,193,Gràcia,la Vila de Gràcia
938839686723474477,110,Eixample,l'Antiga Esquerra de l'Eixample
940310267823821432,81,Sants-Montjuïc,el Poble Sec
940311093066727407,64,Sant Martí,Provençals del Poblenou
940315563658723820,87,Ciutat Vella,el Raval
938898698060793117,55,Ciutat Vella,la Barceloneta
940326615940018424,69,Sants-Montjuïc,la Bordeta
940356528044423716,78,Eixample,la Sagrada Família
938919306966277072,26,Eixample,la Dreta de l'Eixample
940368478584317343,77,Ciutat Vella,el Raval
938928994960255694,116,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
940389383644282019,64,Sant Martí,Sant Martí de Provençals
940412897929531268,64,Eixample,la Sagrada Família
938942655362200746,80,Horta-Guinardó,el Guinardó
938985742501827154,88,Horta-Guinardó,el Baix Guinardó
940419301636882005,64,Sant Martí,el Clot
938994434686499158,80,Ciutat Vella,la Barceloneta
940420019223169146,1500,Sarrià-Sant Gervasi,el Putxet i el Farró
939015578306198507,69,Sants-Montjuïc,Hostafrancs
939034954503627869,162,Eixample,la Dreta de l'Eixample
940427125170112020,1500,Sarrià-Sant Gervasi,el Putxet i el Farró
940427648282530208,1500,Gràcia,la Vila de Gràcia
940443788902906987,1500,Gràcia,Vallcarca i els Penitents
940469835979924724,1500,Sarrià-Sant Gervasi,el Putxet i el Farró
940472826238472559,28,Sants-Montjuïc,la Font de la Guatlla
940476096913895681,75,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
939037831590115377,10,Sant Andreu,la Sagrera
940478594904202240,74,Ciutat Vella,el Barri Gòtic
940481414217442265,32,Sants-Montjuïc,la Font de la Guatlla
939047915160212535,168,Ciutat Vella,el Barri Gòtic
940482189989750803,64,Ciutat Vella,el Barri Gòtic
940486827497512346,89,Ciutat Vella,el Barri Gòtic
940588163110104090,86,Sant Martí,el Parc i la Llacuna del Poblenou
939072918910147670,136,Gràcia,la Vila de Gràcia
940663976448711203,50,Eixample,la Sagrada Família
